listing_number,title,price,location,description,bedrooms,bathrooms,parking_spaces,erf_size
115570955,1 Bedroom Apartment,649500,Pinelands,"1 Bedroom Apartment / flat for sale in Pinelands - Cape TownRetire in the peace and quiet of Pinelands Grove.
PG has beautifully maintained gardens ",1,1,,20
115562205,3 Bedroom Apartment,6950000,Fresnaye,"3 Bedroom Apartment / flat for sale in Fresnaye - Cape TownDuplex Towhouse Living in Sought-After Location

This townhouse offers the full package. ",3,2.5,1,138
115564371,3 Bedroom House,3800000,Diep River,3 Bedroom House for sale in Diep River - Cape TownThis renovated family-sized home with a home office is situated in a historical part of ,3,1,5,697
115574708,1 Bedroom Apartment,3450000,De Waterkant,1 Bedroom Apartment / flat for sale in De Waterkant - Cape TownWe are delighted to present this exquisite luxury double-volume loft apartment ,1,1,1,58
115612496,4 Bedroom House,2450000,Grassy Park,"4 Bedroom House for sale in Grassy Park - Cape TownExclusive listing

Nestled in the heart of Grassy Park, this property has so much to ",4,3,7,467
115607026,7 Bedroom House,2399000,Belhar,7 Bedroom House for sale in Belhar - Cape TownThis property offers the perfect setup for extended family living or rental income ,7,3,1,448
115572444,1 Bedroom Apartment,2200000,Cape Town City Centre,1 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownModern studio teeming with natural light in one of Cape Town CBD's most sought-after ,1,1,1,48
115563603,Commercial Property,POA,Rondebosch,"Commercial property on auction in Rondebosch - Cape TownThe auction will be held at The Houghton Golf Club on the 12 March 2025 at 11h00, and ",,,,690
115544008,5 Bedroom House,5995000,Bergvliet,"5 Bedroom House for sale in Bergvliet - Cape TownStunning dual living property with 2 homes in one. Some finishing off required, but ",5,4,6,1
115577193,4 Bedroom Apartment,16000000,Tamboerskloof,"4 Bedroom Apartment / flat for sale in Tamboerskloof - Cape TownSituated high up in Tamboerskloof, this revolutionary architectural masterpiece has ",4,3,2,365
115575983,4 Bedroom House,11500000,Silvertree Estate,"4 Bedroom House for sale in Silvertree Estate - Cape TownThis magnificent residence is a true gem, nestled in Cape Town’s prestigious Silvertree ",4,4,7,611
115584407,Industrial Property,POA,Diep River,"Industrial property for sale in Diep River - Cape TownSituated in a popular secure 24hour manned (with boom access), park. The factory portion ",,,,1
115570812,1 Bedroom Apartment,1295000,Pinelands,"1 Bedroom Apartment / flat for sale in Pinelands - Cape Town**RETIREMENT APARTMENT**
This is affordable and secure Retirement Living at it's ",1,1,,36
115613079,3 Bedroom House,1795000,Ottery,"3 Bedroom House for sale in Ottery - Cape TownQuay 1 International Reality Presents | Asking Price: R1 795 000

Exclusive ",3,2,2,241
112004534,Commercial Property,7689000,Woodstock,"Commercial property for sale in Woodstock - Cape TownWoodstock Quarter is one of Cape Town’s newest mixed-use developments, ideally located ",,,,433
115597816,1 Bedroom Apartment,1750000,Woodstock,1 Bedroom Apartment / flat for sale in Woodstock - Cape TownThis stunning top-floor apartment in The Iron Works is larger than most in the building ,1,1,1,65
115527959,Commercial Property,24975000,Cape Town City Centre,"Commercial property for sale in Cape Town City Centre - Cape TownAAA Grade office space For Sale at the popular The Rubik in Cape Town City Centre.

The ",,,,677
115563333,Commercial Property,POA,Observatory,"Commercial property on auction in Observatory - Cape TownThe auction will be held at The Houghton Golf Club on the 12 March 2025 at 11h00, and ",,,,1
115576372,1 Bedroom Apartment,2795000,Cape Town City Centre,"1 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownSole & Exclusive Mandate  

On the edge of Cape Town’s city bowl, this bright and ",1,1,1,81
115527943,Commercial Property,78384000,Cape Town City Centre,"Commercial property for sale in Cape Town City Centre - Cape TownAAA Grade office space For Sale at the popular The Rubik in Cape Town City Centre.

The ",,,,2
115297390,2 Bedroom Apartment,3650000,Sea Point,"2 Bedroom Apartment / flat for sale in Sea Point - Cape TownExclusive to Sotheby's International Realty.

This excellently planed 2-bedroom ",2,2,1,71
115556257,2 Bedroom Apartment,1450000,Pinelands,"2 Bedroom Apartment / flat for sale in Pinelands - Cape TownWelcome to this charming 2-bedroom semi-detached home, perfect for comfortable living in ",2,1,1,49
115555579,2 Bedroom Townhouse,1550000,Heathfield,2 Bedroom Townhouse for sale in Heathfield - Cape TownThis 2-bedroom townhouse in Heathfield offers comfortable living with easy access to ,2,1,1,1
115582263,3 Bedroom House,4500000,Rondebosch,"3 Bedroom House for sale in Rondebosch - Cape Town15 Malcolm Road, Rondebosch


Exclusive Mandate

The fixer upperer you have been waiting ",3,1,3,560
115504613,5 Bedroom House,15950000,Constantia,"5 Bedroom House for sale in Constantia - Cape TownThis outstanding property, located in one of Constantia Upper’s most prestigious and ",5,5,2,3
115552813,2 Bedroom Apartment,3650000,Sea Point,"2 Bedroom Apartment / flat for sale in Sea Point - Cape TownExclusive to Sotheby's International Realty.

This excellently planed 2-bedroom ",2,2,1,71
115622127,6 Bedroom House,2395000,Ottery,"6 Bedroom House for sale in Ottery - Cape TownQuay 1 International Realty Presents | Asking Price: R2 395 000

Exclusive ",6,3,3,421
115564343,1 Bedroom Apartment,1400000,Claremont,"1 Bedroom Apartment / flat for sale in Claremont - Cape TownMODERN ""LOCK-UP & GO"" APARTMENT  
Stylish | Secure | Investment ",1,1,,39
115605879,6 Bedroom House,2395000,Ottery,"6 Bedroom House for sale in Ottery - Cape TownQuay 1 International Realty Presents | Asking Price: R2 395 000

Exclusive ",6,3,3,421
115479138,5 Bedroom House,2900000,Walmer Estate,"5 Bedroom House for sale in Walmer Estate - Cape TownA spacious semi-detached townhouse for sale in in vibrant Walmer Estate. 

This secure ",5,3,1,226
115570904,2 Bedroom Apartment,1750000,Zonnebloem,"2 Bedroom Apartment / flat for sale in Zonnebloem - Cape TownInvestment Opportunity with Guaranteed Rentals, Luxurious Features, at Castle Rock ",2,2,1,79
115481665,2 Bedroom Apartment,1470000,Observatory,"2 Bedroom Apartment / flat for sale in Observatory - Cape TownGround Floor Apartment – Ideal for Young Professionals or Students
This well-located ",2,1,1,84
115587230,2 Bedroom House,1395000,Lansdowne,"2 Bedroom House for sale in Lansdowne - Cape TownCharming Semi-Detached Home 

This delightful two-bedroom semi-detached home is ",2,1,2,130
115549696,2 Bedroom Apartment,5795000,Foreshore,"2 Bedroom Apartment / flat for sale in Foreshore - Cape TownSeldom do these units with large balconies come to market.
Modern apartment in the ",2,2,1,88
115589043,2 Bedroom Apartment,3875000,Vredehoek,2 Bedroom Apartment / flat for sale in Vredehoek - Cape TownQuay 1 International is proud to exclusively bring you this spacious 2-bedroom ,2,2,2,70
115549255,3 Bedroom House,1795000,Salt River,"3 Bedroom House for sale in Salt River - Cape TownThis property oozes with potential, from the front garden to the backyard. Situated as a ",3,1,1,261
115608577,Vacant Land,39995000,Bakoven,"Vacant land / plot for sale in Bakoven - Cape TownBuild your Dream Home on this piece of land that offers breathtaking views!

Hugging the waters-edge this vacant piece of land is ",,,,704
115597723,5 Bedroom House,9200000,Mowbray,"5 Bedroom House for sale in Mowbray - Cape TownAn old-world beauty, this magnificent home built in 1896 exudes charm and character and ",5,4,6,991
115546028,3 Bedroom House,2795000,Rylands,"3 Bedroom House for sale in Rylands - Cape TownSole Exclusive Mandate 

Prime location – Perfect for Families or Investors!

This ",3,2,5,695
115607744,2 Bedroom Apartment,6500000,De Waterkant,"2 Bedroom Apartment / flat for sale in De Waterkant - Cape TownSPACIOUS LIGHT & BRIGHT TWO BEDROOM APARTMENT WITH PRIME LOCATION
TWO SECURE PARKING ",2,2,2,78
115539468,2 Bedroom House,1450000,Grassy Park,"2 Bedroom House for sale in Grassy Park - Cape TownReady to find the perfect place to call home? Look no further!

This neat and ",2,1,3,527
115581524,2 Bedroom Apartment,5800000,Cape Town City Centre,"2 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownIntroducing TENONV, our latest development, nestled at 10 Vredenburg Lane, in the heart ",2,3,,97
115581446,1 Bedroom Apartment,3095000,Cape Town City Centre,"1 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownIntroducing TENONV, our latest development, nestled at 10 Vredenburg Lane, in the heart ",1,1,,45
115546953,2 Bedroom Apartment,1400000,Claremont,"2 Bedroom Apartment / flat for sale in Claremont - Cape TownMove right into this beautifully finished 2-bedroom apartment, offering a perfect blend ",2,1,1,79
115619997,3 Bedroom House,7395000,Wynberg Upper,3 Bedroom House for sale in Wynberg Upper - Cape TownLocated in a prime position of the Chelsea Village and on the main South Peninsular Wine route. It is within walking distance to ,3,2,4,279
115612706,1 Bedroom Apartment,2400000,Oranjezicht,"1 Bedroom Apartment / flat for sale in Oranjezicht - Cape TownON SHOW BY APPOINTMENT | SUNDAY, 23 FEBRUARY 2025

This ground floor 'art deco' apartment is situated in a quiet, treed street ",1,1,,55
115541080,3 Bedroom Townhouse,1550000,Plumstead,3 Bedroom Townhouse for sale in Plumstead - Cape TownThis Beautiful Duplex starter home or next investment is situated in the Leafy suburb of ,3,2,2,77
115544540,2 Bedroom House,1850000,Observatory,"2 Bedroom House for sale in Observatory - Cape Town“FAIRVIEW” is the name of this house, next door is “MOUNTVIEW”. More than 100 years of ",2,1,1,135
115584056,Industrial Property,POA,Diep River,Industrial property for sale in Diep River - Cape TownThis factory/warehouse is situated in a popular secure 24hour manned (with boom access) ,,,,2
115613896,1 Bedroom Apartment,4750000,Green Point,"1 Bedroom Apartment / flat for sale in Green Point - Cape TownInviting light bright and sunny. Spacious north facing with 180 degree sea views. 

Double volume loft style with Entertainment sized ",1,2,2,86
115472981,2 Bedroom Apartment,11650000,Green Point,"2 Bedroom Apartment / flat for sale in Green Point - Cape TownSOLE MANDATE

This luxurious lock up and go penthouse on Cape Town’s vibrant Golden ",2,2.5,2,167
115468324,1 Bedroom Apartment,3495000,Cape Town City Centre,1 Bedroom Apartment / flat for sale in Cape Town City Centre - Cape TownWelcome to your secret oasis in the heart of Cape Town! This stunning 1-bedroom duplex ,1,1,1,140
115550872,2 Bedroom Apartment,1395000,Ottery East,"2 Bedroom Apartment / flat for sale in Ottery East - Cape TownSole and Exclusive Mandate
Step into comfort and convenience with this stunning ",2,2,1,51
115564073,2 Bedroom House,3250000,Wynberg Upper,"2 Bedroom House for sale in Wynberg Upper - Cape TownNestled in a serene cul-de-sac in the sought-after Upper Wynberg area, this delightful ",2,2,1,269
115600900,4 Bedroom House,36995000,Camps Bay,"4 Bedroom House for sale in Camps Bay - Cape TownIdeally situated just meters from the seafront, this exceptional home boasts panoramic views of Lion’s Head and Table Mountain. ",4,5,4,633
115615723,2 Bedroom Apartment,4500000,Sea Point,"2 Bedroom Apartment / flat for sale in Sea Point - Cape TownPrime Location | Exclusive Mandate
ON SHOW - 4 MARCH (3PM - 4PM by appointment)
ON SHOW - 5 MARCH (3PM- 4PM by appointment)

This ",2,1.5,1,104
115605368,2 Bedroom House,1495000,Retreat,2 Bedroom House for sale in Retreat - Cape TownHere is a perfect lock up and go property in the sort after pocket of houses in Retreat ,2,1,3,109
115603743,2 Bedroom Apartment,4500000,Sea Point,"2 Bedroom Apartment / flat for sale in Sea Point - Cape TownPrime Location | Exclusive Mandate
ON SHOW - 4 MARCH (3PM - 4PM by appointment)
ON SHOW - 5 MARCH (3PM- 4PM by appointment)

This ",2,1.5,1,104
115576032,Industrial Property,POA,Maitland,Industrial property on auction in Maitland - Cape TownThis premium property is fully operational and ready to meet your business needs. With ,,,,1
115140606,Imagine Properties,2595000,Rondebosch,"3 Bedroom Apartment / flat for sale in Rondebosch - Cape TownRare and unique, 4 level Penthouse in prime location. Priced to sell!! 

Currently tenanted at R20 000 a month for buy to let investors.

See video walkthrough attached.

Ideal for students and young professionals. 

The complex ",3,2,2,122
